sample-id,depth-id,iter-1,iter-2,iter-3,iter-4,iter-5,iter-6,iter-7,iter-8,iter-9,iter-10,iter_array
sampleID_2,depth-408,23,23,23,23,23,23,23,22,23,22,[23 23 23 23 23 23 23 22 23 22]
sampleID_2,depth-429,22,23,23,22,23,23,23,23,23,23,[22 23 23 22 23 23 23 23 23 23]
sampleID_2,depth-449,23,23,23,23,23,23,23,23,23,22,[23 23 23 23 23 23 23 23 23 22]
sampleID_2,depth-469,23,23,23,21,23,23,23,23,23,23,[23 23 23 21 23 23 23 23 23 23]
sampleID_2,depth-490,23,22,23,23,23,23,23,23,23,23,[23 22 23 23 23 23 23 23 23 23]
sampleID_2,depth-510,23,23,23,22,23,23,23,23,23,23,[23 23 23 22 23 23 23 23 23 23]
sampleID_2,depth-531,23,23,23,22,23,23,23,23,23,23,[23 23 23 22 23 23 23 23 23 23]
sampleID_2,depth-551,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_2,depth-571,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_2,depth-592,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_2,depth-612,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_2,depth-633,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_2,depth-653,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_2,depth-673,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_2,depth-694,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_2,depth-714,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_2,depth-734,23,23,23,23,23,23,23,23,22,23,[23 23 23 23 23 23 23 23 22 23]
sampleID_2,depth-755,23,23,23,23,23,23,23,23,23,23,[23 23 23 23 23 23 23 23 23 23]
sampleID_2,depth-775,23,23,23,23,23,23,23,23,22,23,[23 23 23 23 23 23 23 23 22 23]
sampleID_2,depth-796,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,[23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0]
sampleID_2,depth-816,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,[23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0]
sampleID_2,depth-836,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,[23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0]
sampleID_2,depth-857,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,[23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0]
sampleID_2,depth-877,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,[23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0]
sampleID_2,depth-898,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,[23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0]
sampleID_2,depth-918,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,[23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0]
sampleID_2,depth-938,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,[23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0]
sampleID_2,depth-959,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,[23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0]
sampleID_2,depth-979,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,[23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0]
sampleID_2,depth-1000,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,[23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0]
sampleID_2a,depth-1,1,1,1,1,1,1,1,1,1,1,[1 1 1 1 1 1 1 1 1 1]
sampleID_2a,depth-21,11,14,12,15,14,15,17,14,14,13,[11 14 12 15 14 15 17 14 14 13]
sampleID_2a,depth-41,21,21,21,19,20,22,26,22,19,20,[21 21 21 19 20 22 26 22 19 20]
sampleID_2a,depth-62,22,33,32,25,31,24,26,28,25,27,[22 33 32 25 31 24 26 28 25 27]
sampleID_2a,depth-82,28,31,28,31,29,34,30,34,31,30,[28 31 28 31 29 34 30 34 31 30]
sampleID_2a,depth-102,34,33,29,40,34,37,36,34,32,36,[34 33 29 40 34 37 36 34 32 36]
sampleID_2a,depth-123,36,36,35,34,38,36,36,38,39,33,[36 36 35 34 38 36 36 38 39 33]
sampleID_2a,depth-143,40,42,42,40,37,36,41,38,40,41,[40 42 42 40 37 36 41 38 40 41]
sampleID_2a,depth-164,37,43,42,40,40,41,39,40,40,41,[37 43 42 40 40 41 39 40 40 41]
sampleID_2a,depth-184,43,40,43,45,39,41,40,41,40,41,[43 40 43 45 39 41 40 41 40 41]
sampleID_2a,depth-204,36,44,41,43,42,41,37,41,41,42,[36 44 41 43 42 41 37 41 41 42]
sampleID_2a,depth-225,40,43,42,41,40,41,41,41,42,42,[40 43 42 41 40 41 41 41 42 42]
sampleID_2a,depth-245,43,43,40,44,45,44,45,44,43,39,[43 43 40 44 45 44 45 44 43 39]
sampleID_2a,depth-266,43,44,45,45,41,40,43,45,43,44,[43 44 45 45 41 40 43 45 43 44]
sampleID_2a,depth-286,44,42,44,44,43,44,43,43,44,41,[44 42 44 44 43 44 43 43 44 41]
sampleID_2a,depth-306,45,43,44,44,45,45,43,42,44,43,[45 43 44 44 45 45 43 42 44 43]
